play,target,target_size,baseline_churn,expected_churn_after,arpu_$,cost_per_$,customers_saved,revenue_saved_$,total_cost_$,net_roi_$
1. Contract upgrade bonus,M2M + Fiber + 0-12mo,916,0.7019650655021834,0.4,82.07767467248908,50,276.59999999999997,272432.21777292574,45800,226632.21777292574
2. Protection bundle trial,protection_count=0 + tenure<24mo,1752,0.4121004566210046,0.3121004566210046,47.130622146118725,30,175.19999999999996,99087.41999999998,52560,46527.419999999984
3. Auto-pay migration credit,30% of Electronic-check users,709,0.4528541226215645,0.2,76.25581395348837,20,179.27357293868923,164047.82669747778,14180,149867.82669747778
4. First-year onboarding,All 0-12mo customers,2186,0.47438243366880145,0.42438243366880146,56.0977813357731,30,109.29999999999997,73577.84999999998,65580,7997.849999999977
5. Fiber service investigation,All Fiber customers,3096,0.4189276485788114,0.3,91.50012919896642,7,368.20000000000005,404284.1708527133,21672,382612.1708527133
